Query,Impressions,Clicks,CTR,Avg_Position,Date,New
bulk http status checker,3,1,0.3333,4.3,20/03/2015,true
http status check,7,0,0.0,11.0,20/03/2015,true
bulk redirect checker,4,0,0.0,9.3,20/03/2015,true
http status checker,4,0,0.0,9.8,20/03/2015,true
bulk url checker,1,0,0.0,38.0,20/03/2015,true
bulk redirect checker,1,0,0.0,9.0,21/03/2015,false
http status check,1,0,0.0,11.0,21/03/2015,false
bulk http header response checker,1,0,0.0,10.0,21/03/2015,true
http status checker,1,0,0.0,10.0,21/03/2015,false
check http status,1,0,0.0,35.0,21/03/2015,true
bulk redirect checker,2,2,1.0,7.5,22/03/2015,false
bulk http status checker,4,1,0.25,4.0,22/03/2015,false
redirect checker online,1,0,0.0,34.0,22/03/2015,true
http status checker,1,0,0.0,9.0,22/03/2015,false
bulk redirect checker,7,1,0.1429,9.6,23/03/2015,false
http status checker,23,0,0.0,10.0,23/03/2015,false
bulk http status checker,6,0,0.0,4.5,23/03/2015,false
bulk http header response checker,5,0,0.0,11.0,23/03/2015,false
url status check,1,0,0.0,36.0,23/03/2015,true
http status check,1,0,0.0,9.0,23/03/2015,false
redirect checker online,1,0,0.0,34.0,23/03/2015,false
bulk url status checker,1,0,0.0,6.0,23/03/2015,true
bulk http status checker,2,2,1.0,4.0,24/03/2015,false
bulk http header response checker,5,1,0.2,9.2,24/03/2015,false
bulk redirect checker,6,0,0.0,8.7,24/03/2015,false
http status check,4,0,0.0,11.0,24/03/2015,false
bulk url checker,1,0,0.0,41.0,24/03/2015,false
http status checker,1,0,0.0,10.0,24/03/2015,false
http status codes checker,1,0,0.0,21.0,24/03/2015,true
bulk http status checker,4,1,0.25,4.3,25/03/2015,false
http status checker,5,0,0.0,9.8,25/03/2015,false
http status check,3,0,0.0,10.0,25/03/2015,false
bulk redirect checker,2,0,0.0,10.0,25/03/2015,false
bulk url checker,2,0,0.0,33.0,25/03/2015,false
bulk url status checker,2,0,0.0,5.5,25/03/2015,false
bulk header checker,2,0,0.0,9.0,25/03/2015,true
redirect checker,1,0,0.0,85.0,25/03/2015,true
bulk server header checker,1,0,0.0,7.0,25/03/2015,true
bulk http header response checker,1,0,0.0,8.0,25/03/2015,false
bulk http status checker,8,1,0.125,4.1,26/03/2015,false
http status check,5,1,0.2,9.8,26/03/2015,false
http status checker,7,0,0.0,9.4,26/03/2015,false
bulk redirect checker,6,0,0.0,7.8,26/03/2015,false
bulk url checker,3,0,0.0,39.0,26/03/2015,false
bulk server header checker,2,0,0.0,6.5,26/03/2015,false
bulk http header response checker,2,0,0.0,7.5,26/03/2015,false
header status checker,1,0,0.0,23.0,26/03/2015,true
bulk da checker,1,0,0.0,47.0,26/03/2015,true
url status checker,1,0,0.0,22.0,26/03/2015,true
bulk status code checker,1,0,0.0,22.0,26/03/2015,true
bulk url status checker,1,0,0.0,5.0,26/03/2015,false
bulk header checker,1,0,0.0,9.0,26/03/2015,false
bulk http status checker,6,2,0.3333,4.3,27/03/2015,false
http status checker,18,0,0.0,9.6,27/03/2015,false
bulk redirect checker,5,0,0.0,8.0,27/03/2015,false
http status check,4,0,0.0,9.0,27/03/2015,false
bulk server header checker,1,0,0.0,6.0,27/03/2015,false
bulk http header response checker,1,0,0.0,8.0,27/03/2015,false
bulk url checker,1,0,0.0,15.0,27/03/2015,false
bulk redirect checker,6,0,0.0,7.8,28/03/2015,false
http status check,2,0,0.0,9.0,28/03/2015,false
http status checker,2,0,0.0,10.0,28/03/2015,false
http status codes checker,1,0,0.0,27.0,28/03/2015,false
bulk http header response checker,1,1,1.0,8.0,29/03/2015,false
bulk server header checker,4,0,0.0,7.5,29/03/2015,false
http status checker,4,0,0.0,10.0,29/03/2015,false
bulk http status checker,3,0,0.0,4.0,29/03/2015,false
http checker,1,0,0.0,17.0,29/03/2015,true
http status check,1,0,0.0,9.0,29/03/2015,false
bulk header checker,1,0,0.0,9.0,29/03/2015,false
http status checker,17,0,0.0,9.0,30/03/2015,false
bulk header checker,5,0,0.0,9.0,30/03/2015,false
http status check,4,0,0.0,8.5,30/03/2015,false
http header status checker,2,0,0.0,28.0,30/03/2015,true
bulk redirect checker,2,0,0.0,6.0,30/03/2015,false
url status checker,2,0,0.0,20.0,30/03/2015,false
http status codes checker,2,0,0.0,18.0,30/03/2015,false
header status checker,1,0,0.0,47.0,30/03/2015,false
url status check,1,0,0.0,45.0,30/03/2015,false
http checker,1,0,0.0,18.0,30/03/2015,false
bulk http status checker,1,0,0.0,4.0,30/03/2015,false
check http status,1,0,0.0,17.0,30/03/2015,false
http status checker,15,0,0.0,8.9,31/03/2015,false
http status check,9,0,0.0,9.8,31/03/2015,false
bulk url checker,4,0,0.0,34.0,31/03/2015,false
bulk header checker,3,0,0.0,9.3,31/03/2015,false
bulk http header response checker,2,0,0.0,6.5,31/03/2015,false
redirect status checker,1,0,0.0,28.0,31/03/2015,true
header status checker,1,0,0.0,21.0,31/03/2015,false
bulk redirect checker,1,0,0.0,10.0,31/03/2015,false
url status checker,1,0,0.0,13.0,31/03/2015,false
http response checker,1,0,0.0,12.0,31/03/2015,true
bulk url status checker,1,0,0.0,6.0,31/03/2015,false
http status checker,10,0,0.0,9.9,01/04/2015,false
bulk header checker,6,0,0.0,9.0,01/04/2015,false
url status checker,3,0,0.0,20.0,01/04/2015,false
bulk http status checker,3,0,0.0,3.7,01/04/2015,false
status code checker,2,0,0.0,44.0,01/04/2015,true
bulk redirect checker,2,0,0.0,8.0,01/04/2015,false
http status check,2,0,0.0,9.5,01/04/2015,false
online redirection checker,1,0,0.0,25.0,01/04/2015,true
bulk http header response checker,1,0,0.0,8.0,01/04/2015,false
bulk url checker,1,0,0.0,25.0,01/04/2015,false
redirect checker bulk,1,0,0.0,9.0,01/04/2015,true
mobile friendly checker,1,0,0.0,35.0,01/04/2015,true
google mobile checker,27,1,0.037,7.5,02/04/2015,true
bulk redirect checker,8,1,0.125,8.4,02/04/2015,false
redirect checker bulk,3,1,0.3333,8.0,02/04/2015,false
bulk http status checker,2,1,0.5,3.0,02/04/2015,false
http status checker,15,0,0.0,9.2,02/04/2015,false
google mobile friendly checker,13,0,0.0,7.5,02/04/2015,true
status code checker,6,0,0.0,38.0,02/04/2015,false
mobile friendly checker,6,0,0.0,20.0,02/04/2015,false
http status check,5,0,0.0,9.2,02/04/2015,false
mobile checker,5,0,0.0,41.0,02/04/2015,true
mobile friendly checker google,2,0,0.0,11.0,02/04/2015,true
http header status checker,1,0,0.0,28.0,02/04/2015,false
url status checker,1,0,0.0,18.0,02/04/2015,false
mobile checker google,1,0,0.0,10.0,02/04/2015,true
redirect checker online,1,0,0.0,31.0,02/04/2015,false
bulk header checker,1,0,0.0,9.0,02/04/2015,false
google mobile friendly checker,8,0,0.0,8.6,03/04/2015,false
bulk header checker,8,0,0.0,9.1,03/04/2015,false
http status checker,7,0,0.0,9.4,03/04/2015,false
bulk redirect checker,6,0,0.0,8.5,03/04/2015,false
http status check,4,0,0.0,9.0,03/04/2015,false
google mobile checker,3,0,0.0,8.0,03/04/2015,false
mobile friendly checker,3,0,0.0,20.0,03/04/2015,false
status code checker,2,0,0.0,31.0,03/04/2015,false
http status code checker,2,0,0.0,17.0,03/04/2015,true
http checker,1,0,0.0,13.0,03/04/2015,false
bulk http status checker,1,0,0.0,4.0,03/04/2015,false
online redirection checker,1,0,0.0,25.0,03/04/2015,false
mobile checker google,1,0,0.0,14.0,03/04/2015,false
bulk server header checker,1,0,0.0,7.0,03/04/2015,false
bulk url checker,1,0,0.0,19.0,03/04/2015,false
bulk checker,1,0,0.0,50.0,03/04/2015,true
google mobile score,2,1,0.5,12.0,04/04/2015,true
google mobile friendly checker,4,0,0.0,7.0,04/04/2015,false
google mobile checker,3,0,0.0,7.0,04/04/2015,false
http status check,2,0,0.0,8.5,04/04/2015,false
seo redirect checker,1,0,0.0,350.0,04/04/2015,true
http status code checker,1,0,0.0,16.0,04/04/2015,false
bulk http status checker,1,0,0.0,4.0,04/04/2015,false
bulk url checker,1,0,0.0,18.0,04/04/2015,false
mobile friendly testing tool google,1,0,0.0,42.0,04/04/2015,true
http status checker,1,0,0.0,9.0,04/04/2015,false
http status code checker,2,0,0.0,17.0,05/04/2015,false
mobile checker google,2,0,0.0,10.0,05/04/2015,false
bulk server header checker,2,0,0.0,8.0,05/04/2015,false
google mobile friendly checker,2,0,0.0,10.0,05/04/2015,false
seo redirect checker,1,0,0.0,350.0,05/04/2015,false
bulk http status checker,1,0,0.0,4.0,05/04/2015,false
google mobile score,1,0,0.0,9.0,05/04/2015,false
mobile friendly checker google,1,0,0.0,10.0,05/04/2015,false
bulk http status checker,4,1,0.25,4.0,06/04/2015,false
http status checker,9,0,0.0,9.6,06/04/2015,false
http status check,5,0,0.0,9.2,06/04/2015,false
bulk redirect checker,4,0,0.0,9.0,06/04/2015,false
google mobile checker,3,0,0.0,9.7,06/04/2015,false
bulk url checker,2,0,0.0,18.0,06/04/2015,false
seo redirect checker,1,0,0.0,340.0,06/04/2015,false
http status code checker,1,0,0.0,21.0,06/04/2015,false
http checker,1,0,0.0,29.0,06/04/2015,false
google mobile site checker,1,0,0.0,28.0,06/04/2015,true
mobile friendly checker google,1,0,0.0,10.0,06/04/2015,false
bulk server header checker,1,0,0.0,7.0,06/04/2015,false
bulk http header response checker,1,0,0.0,8.0,06/04/2015,false
mobile friendly website checker,1,0,0.0,26.0,06/04/2015,true
redirect checker online,1,0,0.0,29.0,06/04/2015,false
bulk header checker,1,0,0.0,9.0,06/04/2015,false
http status check,6,1,0.1667,8.8,07/04/2015,false
bulk http status checker,4,1,0.25,4.0,07/04/2015,false
google mobile friendly checker,19,0,0.0,9.3,07/04/2015,false
google mobile checker,15,0,0.0,11.0,07/04/2015,false
http status checker,14,0,0.0,8.5,07/04/2015,false
bulk redirect checker,6,0,0.0,7.7,07/04/2015,false
mobile checker google,5,0,0.0,9.0,07/04/2015,false
google mobile score,5,0,0.0,8.4,07/04/2015,false
bulk header checker,5,0,0.0,9.0,07/04/2015,false
http status code checker,4,0,0.0,16.0,07/04/2015,false
mobile friendly checker,4,0,0.0,20.0,07/04/2015,false
bulk url checker,3,0,0.0,20.0,07/04/2015,false
status code checker,2,0,0.0,34.0,07/04/2015,false
http checker,2,0,0.0,19.0,07/04/2015,false
mobile friendly website checker,2,0,0.0,35.0,07/04/2015,false
header status checker,1,0,0.0,22.0,07/04/2015,false
seo redirect checker,1,0,0.0,340.0,07/04/2015,false
bulk 301 redirect checker,1,0,0.0,10.0,07/04/2015,true
http header status checker,1,0,0.0,25.0,07/04/2015,false
mobile friendly checker google,1,0,0.0,8.0,07/04/2015,false
website mobile friendly checker,1,0,0.0,30.0,07/04/2015,true
bulk http status checker,5,2,0.4,4.0,08/04/2015,false
http status checker,18,1,0.0556,9.5,08/04/2015,false
bulk header checker,3,1,0.3333,9.0,08/04/2015,false
google mobile checker,22,0,0.0,9.9,08/04/2015,false
google mobile friendly checker,9,0,0.0,12.0,08/04/2015,false
bulk redirect checker,7,0,0.0,7.4,08/04/2015,false
google mobile score,4,0,0.0,8.8,08/04/2015,false
mobile checker google,3,0,0.0,7.7,08/04/2015,false
mobile friendly checker,3,0,0.0,22.0,08/04/2015,false
mobile friendly checker google,2,0,0.0,10.0,08/04/2015,false
bulk url checker,2,0,0.0,18.0,08/04/2015,false
status code checker,1,0,0.0,18.0,08/04/2015,false
seo redirect checker,1,0,0.0,340.0,08/04/2015,false
http status code checker,1,0,0.0,15.0,08/04/2015,false
bulk status code checker,1,0,0.0,5.0,08/04/2015,false
mobile google checker,1,0,0.0,9.0,08/04/2015,true
http status check,1,0,0.0,9.0,08/04/2015,false
mobile checker,1,0,0.0,52.0,08/04/2015,false
website mobile friendly checker,1,0,0.0,33.0,08/04/2015,false
online redirect checker,1,0,0.0,36.0,08/04/2015,true
http status checker,16,1,0.0625,9.2,09/04/2015,false
bulk http status checker,8,1,0.125,3.9,09/04/2015,false
google mobile checker,16,0,0.0,10.0,09/04/2015,false
bulk redirect checker,9,0,0.0,8.4,09/04/2015,false
google mobile score,7,0,0.0,8.4,09/04/2015,false
mobile checker google,6,0,0.0,7.7,09/04/2015,false
google mobile friendly checker,6,0,0.0,12.0,09/04/2015,false
http status check,4,0,0.0,11.0,09/04/2015,false
bulk http header response checker,3,0,0.0,4.3,09/04/2015,false
bulk header checker,3,0,0.0,9.0,09/04/2015,false
http status code checker,2,0,0.0,14.0,09/04/2015,false
seo redirect checker,1,0,0.0,340.0,09/04/2015,false
http header status checker,1,0,0.0,25.0,09/04/2015,false
mobile friendly website checker,1,0,0.0,37.0,09/04/2015,false
mobile friendly checker,1,0,0.0,18.0,09/04/2015,false
website mobile friendly checker,1,0,0.0,30.0,09/04/2015,false
google mobile check tool,1,0,0.0,33.0,09/04/2015,true
online redirect checker,1,0,0.0,30.0,09/04/2015,false
http header status check,1,0,0.0,33.0,09/04/2015,true
http status checker,19,1,0.0526,9.5,10/04/2015,false
google mobile checker,23,0,0.0,9.7,10/04/2015,false
bulk http checker,4,0,0.0,4.0,10/04/2015,true
bulk http status checker,3,0,0.0,3.7,10/04/2015,false
http status code checker,2,0,0.0,19.0,10/04/2015,false
google mobile score,2,0,0.0,9.0,10/04/2015,false
bulk url checker,2,0,0.0,17.0,10/04/2015,false
seo redirect checker,1,0,0.0,340.0,10/04/2015,false
http header status checker,1,0,0.0,26.0,10/04/2015,false
bulk redirect checker,1,0,0.0,9.0,10/04/2015,false
url status checker,1,0,0.0,12.0,10/04/2015,false
http checker,1,0,0.0,14.0,10/04/2015,false
http status check,1,0,0.0,9.0,10/04/2015,false
mobile friendly website checker,1,0,0.0,37.0,10/04/2015,false
google mobile friendly checker,1,0,0.0,15.0,10/04/2015,false
mobile friendly checker,1,0,0.0,20.0,10/04/2015,false
bulk header checker,1,0,0.0,9.0,10/04/2015,false
http response checker,1,1,1.0,28.0,11/04/2015,false
bulk http header response checker,1,1,1.0,6.0,11/04/2015,false
google mobile checker,11,0,0.0,9.4,11/04/2015,false
http status checker,5,0,0.0,9.8,11/04/2015,false
google mobile friendly checker,2,0,0.0,9.0,11/04/2015,false
mobile friendly checker,2,0,0.0,28.0,11/04/2015,false
status code checker,1,0,0.0,44.0,11/04/2015,false
yandex tic,1,0,0.0,49.0,11/04/2015,true
http status code checker,1,0,0.0,15.0,11/04/2015,false
http checker,1,0,0.0,18.0,11/04/2015,false
google mobile checker,14,0,0.0,10.0,12/04/2015,false
bulk server header checker,4,0,0.0,7.0,12/04/2015,false
google mobile friendly checker,3,0,0.0,14.0,12/04/2015,false
http status check,2,0,0.0,10.0,12/04/2015,false
mobile friendly checker,2,0,0.0,29.0,12/04/2015,false
bulk header checker,2,0,0.0,9.0,12/04/2015,false
status code checker,1,0,0.0,44.0,12/04/2015,false
header status checker,1,0,0.0,27.0,12/04/2015,false
bulk redirect checker,1,0,0.0,9.0,12/04/2015,false
http status code checker,1,0,0.0,15.0,12/04/2015,false
mobile checker google,1,0,0.0,7.0,12/04/2015,false
http status checker,1,0,0.0,9.0,12/04/2015,false
mobilechecker,1,0,0.0,23.0,12/04/2015,true
http status codes checker,1,0,0.0,16.0,12/04/2015,false
bulk http status checker,3,1,0.3333,3.7,13/04/2015,false
google mobile checker,19,0,0.0,9.8,13/04/2015,false
http status checker,10,0,0.0,9.6,13/04/2015,false
bulk redirect checker,6,0,0.0,8.8,13/04/2015,false
google mobile friendly checker,6,0,0.0,22.0,13/04/2015,false
http status check,5,0,0.0,9.4,13/04/2015,false
http checker,3,0,0.0,17.0,13/04/2015,false
mobile friendly checker,3,0,0.0,25.0,13/04/2015,false
mobile checker google,2,0,0.0,8.5,13/04/2015,false
google mobile score,2,0,0.0,8.5,13/04/2015,false
bulk http checker,2,0,0.0,4.0,13/04/2015,false
redirect checker bulk,2,0,0.0,9.5,13/04/2015,false
bulk header checker,2,0,0.0,9.0,13/04/2015,false
status code checker,1,0,0.0,34.0,13/04/2015,false
http status code checker,1,0,0.0,15.0,13/04/2015,false
bulk header check,1,0,0.0,10.0,13/04/2015,true
http response checker,1,0,0.0,27.0,13/04/2015,false
bulk http header response checker,1,0,0.0,7.0,13/04/2015,false
bulk checker,1,0,0.0,46.0,13/04/2015,false
google mobile checker,30,0,0.0,10.0,14/04/2015,false
mobile checker google,6,0,0.0,8.7,14/04/2015,false
google mobile score,5,0,0.0,7.6,14/04/2015,false
http status checker,5,0,0.0,9.0,14/04/2015,false
bulk redirect checker,4,0,0.0,8.5,14/04/2015,false
mobile friendly checker,4,0,0.0,23.0,14/04/2015,false
bulk header checker,4,0,0.0,9.5,14/04/2015,false
header response checker,3,0,0.0,46.0,14/04/2015,true
bulk da checker,2,0,0.0,36.0,14/04/2015,false
bulk 301 redirect checker,2,0,0.0,31.0,14/04/2015,false
http status code checker,2,0,0.0,14.0,14/04/2015,false
bulk http status checker,2,0,0.0,4.0,14/04/2015,false
mobile friendly checker google,2,0,0.0,47.0,14/04/2015,false
http status check,2,0,0.0,13.0,14/04/2015,false
bulk server header checker,2,0,0.0,7.0,14/04/2015,false
bulk url checker,2,0,0.0,26.0,14/04/2015,false
google mobile friendly checker,2,0,0.0,23.0,14/04/2015,false
status code checker,1,0,0.0,32.0,14/04/2015,false
url status checker,1,0,0.0,17.0,14/04/2015,false
http checker,1,0,0.0,18.0,14/04/2015,false
redirect checker,1,0,0.0,77.0,14/04/2015,false
bulk http status checker,8,5,0.625,3.8,15/04/2015,false
http status checker,19,1,0.0526,9.5,15/04/2015,false
google mobile checker,30,0,0.0,10.0,15/04/2015,false
bulk redirect checker,10,0,0.0,9.0,15/04/2015,false
google mobile score,4,0,0.0,8.8,15/04/2015,false
mobile friendly checker,4,0,0.0,24.0,15/04/2015,false
http checker,2,0,0.0,19.0,15/04/2015,false
http status check,2,0,0.0,10.0,15/04/2015,false
bulk url checker,2,0,0.0,17.0,15/04/2015,false
check http status,2,0,0.0,17.0,15/04/2015,false
bulk header checker,2,0,0.0,10.0,15/04/2015,false
status code checker,1,0,0.0,22.0,15/04/2015,false
url status checker,1,0,0.0,18.0,15/04/2015,false
google mobile friendly score,1,0,0.0,9.0,15/04/2015,true
http status code checker,1,0,0.0,16.0,15/04/2015,false
google mobile site checker,1,0,0.0,26.0,15/04/2015,false
mobile checker google,1,0,0.0,10.0,15/04/2015,false
status header checker,1,0,0.0,32.0,15/04/2015,true
google mobile friendly checker,1,0,0.0,39.0,15/04/2015,false
bulk http checker,1,0,0.0,4.0,15/04/2015,false
mobile checker,1,0,0.0,70.0,15/04/2015,false
google mobile check tool,1,0,0.0,46.0,15/04/2015,false
http status checker,22,1,0.0455,9.1,16/04/2015,false
bulk server header checker,7,1,0.1429,7.0,16/04/2015,false
http status code checker,3,1,0.3333,15.0,16/04/2015,false
bulk status code checker,2,1,0.5,4.0,16/04/2015,false
bulk http status checker,2,1,0.5,4.0,16/04/2015,false
check http status,1,1,1.0,17.0,16/04/2015,false
mobile checker google,18,0,0.0,9.3,16/04/2015,false
google mobile checker,16,0,0.0,13.0,16/04/2015,false
bulk redirect checker,11,0,0.0,9.1,16/04/2015,false
google mobile friendly checker,4,0,0.0,44.0,16/04/2015,false
http status check,3,0,0.0,9.3,16/04/2015,false
http header status checker,2,0,0.0,28.0,16/04/2015,false
redirect checker bulk,2,0,0.0,8.5,16/04/2015,false
mobile friendly checker,2,0,0.0,24.0,16/04/2015,false
bulk header checker,2,0,0.0,9.5,16/04/2015,false
google mobile score,1,0,0.0,8.0,16/04/2015,false
mobile friendly checker google,1,0,0.0,44.0,16/04/2015,false
bulk http header response checker,1,0,0.0,8.0,16/04/2015,false
bulk url checker,1,0,0.0,18.0,16/04/2015,false
bulk http checker,1,0,0.0,4.0,16/04/2015,false
http status codes checker,1,0,0.0,18.0,16/04/2015,false
http status checker,20,1,0.05,9.2,17/04/2015,false
bulk http header response checker,4,1,0.25,7.5,17/04/2015,false
bulk http status checker,2,1,0.5,3.5,17/04/2015,false
google mobile checker,7,0,0.0,13.0,17/04/2015,false
mobile friendly checker,6,0,0.0,24.0,17/04/2015,false
